Bankrupt, Operating_Gross_Margin, Aftertax_net_Interest_Rate, Operating_Expense_Rate,Cash_flow_rate, Interest_bearing_debt_interest_rate,Tax_rate,Net_Value_Per_Share,Cash_Reinvestment,Debt_ratio,Total_Asset_Turnover,Operating_profit_per_person,Cash_to_Total_Assets,Total_income_to_Total_expense,Cash_Flow_to_Sales, Operating Profit Rate
1,0.601457213,0.808809361,0.000125697,0.458143144,0.000725073,0,0.147949939,0.363725271,0.207576261,0.086956522,0.392912869,0.004094406,0.002021613,0.671567654,0.998969203
1,0.610235086,0.809300726,0.000289785,0.461867257,0.000647065,0,0.182251064,0.376709139,0.171176346,0.064467766,0.391589969,0.014947727,0.002225608,0.671569942,0.998945978
1,0.601450006,0.808387521,0.00023613,0.458520587,0.000790079,0,0.17791075,0.36891323,0.207515796,0.014992504,0.381967843,0.000990944,0.002060071,0.671571322,0.998857353
1,0.583541129,0.808965598,0.000107889,0.465705443,0.000449045,0,0.154186507,0.384076599,0.151464764,0.089955022,0.378496642,0.018850625,0.001831359,0.67151917,0.998699747
1,0.598783494,0.80930372,7890000000,0.462746282,0.000686069,0,0.167502423,0.379689654,0.106509055,0.175412294,0.394371452,0.014160974,0.00222393,0.671563053,0.998973132
1,0.590171378,0.808770562,0.00015715,0.465861453,0.000716072,0,0.155577093,0.388025781,0.180427487,0.095952024,0.377569481,0.002645226,0.001865609,0.671567593,0.998758098
0,0.619949841,0.80896039,0.000398483,0.461020105,0.000805081,0,0.158821794,0.375302709,0.216101823,0.100449775,0.393172927,0.022988598,0.002120736,0.67156226,0.998993121
0,0.601738278,0.809361528,9000000000,0.46702398,0.000630063,0.157607045,0.176983692,0.384234939,0.108202074,0.218890555,0.396463219,0.014615913,0.002359999,0.671571763,0.999008951
0,0.603612044,0.809338092,0.000168714,0.463142179,0.000737074,0.00587104,0.184189457,0.377994486,0.058590561,0.154422789,0.391940481,0.145189218,0.00227396,0.671576185,0.998960768
0,0.599208694,0.809320385,5820000000,0.470575308,0.000672067,0.392448628,0.177447221,0.3900842,0.121292741,0.347826087,0.396372764,0.008772791,0.002269196,0.671572411,0.999000632
0,0.614025858,0.809459697,0.000318116,0.46481803,0.000549055,0,0.182925288,0.374278157,0.103576503,0.076461769,0.392754574,0.002056836,0.002337657,0.671572322,0.998978447
0,0.623711786,0.80938913,0.000476654,0.465490719,0.00070307,0,0.173865408,0.379941135,0.094385827,0.062968516,0.392437982,0.020542229,0.002256752,0.671574375,0.998975327
0,0.608130702,0.809344342,0.00015715,0.464100048,0.000576058,0.185241421,0.169398677,0.381571104,0.144662454,0.124437781,0.401845277,0.058218001,0.00227305,0.671563029,0.999044887
0,0.600577985,0.809299293,0.000113786,0.467198443,0.000709071,0,0.171547765,0.382670169,0.10656952,0.145427286,0.392494516,0.074169857,0.00221748,0.671579757,0.998967008
0,0.604685856,0.809456311,9370000000,0.478766681,0.000910091,0,0.180565505,0.383024105,0.089639326,0.101949025,0.399923113,0.021194017,0.002569822,0.671554911,0.999052975
0,0.621773159,0.809395509,0.000323782,0.472093472,0.000479048,0.258730641,0.174328937,0.387662531,0.099071863,0.148425787,0.404513693,0.003766824,0.002289993,0.671572248,0.999096883
0,0.606523588,0.809761103,0.000179815,0.462196053,0.000523052,0.029456423,0.183852345,0.3757591,0.061281253,0.019490255,0.393726962,0.052866701,0.002551771,0.671569399,0.998996472
0,0.618450828,0.809460738,0.000248734,0.470061985,0.000637064,0.217430914,0.189541107,0.38119854,0.078725398,0.125937031,0.40057891,0.013907171,0.002360951,0.671570175,0.999118837
0,0.598343879,0.809334056,5630000000,0.46844317,0.000619062,0.09555623,0.175129577,0.386908088,0.141336881,0.229385307,0.401754822,0.012801285,0.002318045,0.671572557,0.998988615
0,0.63625881,0.809340436,0.00061137,0.465163601,0.000550055,0.441643891,0.176478025,0.378497448,0.077485866,0.11844078,0.393252075,0.093503139,0.002242858,0.671578992,0.999041651
0,0.622176739,0.809405795,0.000363099,0.488241363,0,0.261058812,0.189119717,0.379382288,0.096350939,0.053973013,0.398317541,0.031924086,0.002293048,0.671547159,0.999065454
0,0.607446057,0.809370902,0.000160966,0.470644087,0.000775078,0.208928029,0.185453626,0.386777691,0.100734649,0.173913043,0.397910495,0.139413215,0.002322076,0.671591772,0.999029981
0,0.618933683,0.809367126,0.000316613,0.470652475,0.000753075,0.005567365,0.176983692,0.387429678,0.146506636,0.125937031,0.394009633,0.038272303,0.00226913,0.67157328,0.999058637
0,0.6095072,0.80932312,0.00017172,0.464264446,0.000645065,0.417653609,0.184400152,0.386665922,0.193034435,0.082458771,0.396338844,0.20786639,0.002245935,0.671578887,0.999052397
0,0.602956226,0.809331192,94100000,0.464603306,0.000762076,0.306913655,0.172896212,0.390736187,0.194515827,0.184407796,0.398046177,0.017860839,0.002274344,0.671572528,0.999024781
0,0.611762925,0.808992679,0.000335924,0.466873003,0.000739074,0,0.161307994,0.380760776,0.146748496,0.04197901,0.390855024,0.014953766,0.002098267,0.671575051,0.998925064
0,0.626544055,0.8094028,0.000398021,0.471058437,0.000691069,0.231096265,0.179217058,0.384495734,0.092057925,0.109445277,0.395502137,0.026006422,0.002284709,0.671570119,0.999099309
0,0.609737817,0.80944876,0.000115752,0.495880828,0.001063106,0.213786821,0.182630315,0.390475392,0.03609759,0.148425787,0.403190792,0.106296004,0.002505647,0.671569021,0.999111788
0,0.60202655,0.809400066,0.000125928,0.473888428,0.000822082,0.196376151,0.177952889,0.386423755,0.089578861,0.103448276,0.392867642,0.007991229,0.00236163,0.67156063,0.998982376
1,0.599115006,0.809175866,8480000000,0.460246764,0.000842084,0,0.156209178,0.369136768,0.219608792,0.214392804,0.394100088,0.008266417,0.002083504,0.671566922,0.998972554
1,0.599987028,0.809222607,0.000162469,0.458983585,0.000943094,0,0.145505878,0.370291718,0.228890165,0.064467766,0.389814794,0.011060914,0.002162379,0.671576937,0.998908888
0,0.618868822,0.809307105,0.000360208,0.46320928,0.000827083,0,0.158695377,0.382455944,0.208241376,0.103448276,0.394100088,0.02307052,0.002230174,0.671571509,0.999014036
0,0.601168942,0.809358533,9040000000,0.464459039,0.000672067,0.077032088,0.177025831,0.37847882,0.116848565,0.220389805,0.395909183,0.006430036,0.002348642,0.671570987,0.998999939
0,0.603475115,0.809338353,0.000183746,0.465754091,0.000728073,0.039983804,0.185875016,0.381068142,0.06233939,0.137931034,0.391024626,0.1099419,0.002269939,0.67156397,0.998943552
0,0.599107799,0.809317651,6190000000,0.463652148,0.000686069,0.093835408,0.174033964,0.376550799,0.124104363,0.389805097,0.395762194,0.009640278,0.002259819,0.671572354,0.998995317
0,0.614278096,0.809443813,0.000327251,0.466757253,0.00059606,0,0.180186254,0.375777728,0.122622971,0.071964018,0.392596278,0.001818174,0.00231643,0.671572304,0.998973363
